observation_date,QMYR628BIS
1988-01-01,59.468499999999999
1988-04-01,59.608899999999998
1988-07-01,60.790599999999998
1988-10-01,60.969900000000003
1989-01-01,61.288999999999994
1989-04-01,61.334499999999998
1989-07-01,61.166499999999999
1989-10-01,60.491000000000007
1990-01-01,60.445000000000000
1990-04-01,60.009200000000000
1990-07-01,60.628500000000003
1990-10-01,65.303500000000000
1991-01-01,69.630600000000001
1991-04-01,74.109800000000007
1991-07-01,75.916700000000006
1991-10-01,76.673800000000000
1992-01-01,77.995699999999999
1992-04-01,79.532799999999995
1992-07-01,79.892499999999998
1992-10-01,79.899400000000000
1993-01-01,80.060900000000004
1993-04-01,80.223100000000002
1993-07-01,80.328800000000001
1993-10-01,80.679199999999994
1994-01-01,81.820400000000006
1994-04-01,81.605599999999995
1994-07-01,83.698899999999995
1994-10-01,87.459400000000002
1995-01-01,91.276399999999995
1995-04-01,94.533100000000005
1995-07-01,97.256799999999998
1995-10-01,99.542800000000000
1996-01-01,102.051500000000004
1996-04-01,104.232399999999998
1996-07-01,105.441599999999994
1996-10-01,105.731399999999994
1997-01-01,106.327399999999997
1997-04-01,106.364999999999995
1997-07-01,103.654799999999994
1997-10-01,98.300500000000000
1998-01-01,94.353600000000000
1998-04-01,89.775400000000005
1998-07-01,86.635599999999997
1998-10-01,86.059399999999997
1999-01-01,83.623599999999996
1999-04-01,83.840100000000007
1999-07-01,85.109099999999998
1999-10-01,86.333100000000002
2000-01-01,86.232399999999998
2000-04-01,88.661799999999999
2000-07-01,89.130099999999999
2000-10-01,88.827100000000002
2001-01-01,87.304800000000000
2001-04-01,87.927099999999996
2001-07-01,88.830600000000004
2001-10-01,88.432500000000005
2002-01-01,87.576400000000007
2002-04-01,88.530299999999997
2002-07-01,89.733999999999995
2002-10-01,91.069100000000006
2003-01-01,90.549199999999999
2003-04-01,90.284899999999993
2003-07-01,93.124300000000005
2003-10-01,93.296000000000006
2004-01-01,94.414299999999997
2004-04-01,94.293099999999995
2004-07-01,94.062399999999997
2004-10-01,93.607799999999997
2005-01-01,93.883600000000001
2005-04-01,94.632999999999996
2005-07-01,93.407899999999998
2005-10-01,92.999600000000001
2006-01-01,92.628000000000000
2006-04-01,92.129099999999994
2006-07-01,92.058499999999995
2006-10-01,94.468400000000003
2007-01-01,94.620199999999997
2007-04-01,94.781599999999997
2007-07-01,95.276700000000005
2007-10-01,95.092699999999994
2008-01-01,96.247399999999999
2008-04-01,94.203900000000004
2008-07-01,92.247000000000000
2008-10-01,91.993799999999993
2009-01-01,93.327399999999997
2009-04-01,95.343699999999998
2009-07-01,96.265000000000001
2009-10-01,96.847600000000000
2010-01-01,96.858599999999996
2010-04-01,99.879900000000006
2010-07-01,100.796700000000001
2010-10-01,102.422399999999996
2011-01-01,103.155199999999994
2011-04-01,105.115300000000005
2011-07-01,107.082099999999997
2011-10-01,110.373699999999999
2012-01-01,113.647900000000007
2012-04-01,117.252300000000005
2012-07-01,119.615799999999993
2012-10-01,124.533699999999996
2013-01-01,124.296099999999996
2013-04-01,128.400499999999994
2013-07-01,132.601400000000012
2013-10-01,132.250300000000010
2014-01-01,132.418900000000008
2014-04-01,136.828900000000004
2014-07-01,140.105500000000006
2014-10-01,139.794900000000013
2015-01-01,143.644800000000004
2015-04-01,143.465200000000010
2015-07-01,145.442999999999984
2015-10-01,145.074900000000014
2016-01-01,148.923100000000005
2016-04-01,150.781000000000006
2016-07-01,153.299900000000008
2016-10-01,152.702300000000008
2017-01-01,152.528999999999996
2017-04-01,155.112200000000001
2017-07-01,157.525800000000004
2017-10-01,156.504300000000001
2018-01-01,156.301500000000004
2018-04-01,158.684200000000004
2018-07-01,161.071100000000001
2018-10-01,159.961199999999991
2019-01-01,160.711800000000011
2019-04-01,161.355799999999988
2019-07-01,162.371900000000011
2019-10-01,161.228100000000012
2020-01-01,162.268000000000001
2020-04-01,167.934000000000026
2020-07-01,164.956500000000005
2020-10-01,165.707099999999997
2021-01-01,162.605199999999996
2021-04-01,162.895100000000014
2021-07-01,163.199700000000007
2021-10-01,163.665500000000009
2022-01-01,162.852699999999999
2022-04-01,162.538399999999996
2022-07-01,164.191599999999994
2022-10-01,163.633800000000008
2023-01-01,164.762499999999989
2023-04-01,164.932700000000011
2023-07-01,166.314600000000013
2023-10-01,167.252399999999994
2024-01-01,167.763299999999987
2024-04-01,168.426400000000001
2024-07-01,170.258499999999998
2024-10-01,166.586800000000011
